Z,A,Graph_Radius,Relaxed_Fiedler_Stiffness
1,1,0.000000,0.000000
1,2,0.000000,0.000000
1,3,0.000000,0.000000
2,3,35.338820,0.252587
2,4,35.601834,0.234980
2,5,35.892563,0.229343
3,5,35.892563,0.229343
3,6,35.798095,0.201778
3,7,36.619192,0.209319
4,7,38.326187,0.475771
4,8,38.395043,0.212595
4,9,46.556310,0.233360
5,9,46.556310,0.233360
5,10,44.995076,0.663311
5,11,38.763281,0.737593
6,11,68.701025,0.231999
6,12,69.448918,0.656208
6,13,67.401335,0.973005
7,13,67.401335,0.973005
7,14,65.222176,0.120291
7,15,67.673288,0.494429
8,15,86.176536,1.241301
8,16,83.853338,0.120935
8,17,81.299977,0.515093
9,17,81.299977,0.515093
9,18,82.141739,0.287398
9,19,85.005434,1.881264
10,19,94.214637,0.511308
10,20,95.095329,0.285866
10,21,97.317219,2.059144
11,21,97.317219,2.059144
11,22,102.089079,2.370791
11,23,105.703656,3.139659
12,24,104.502086,2.560922
12,25,107.284886,3.794787
12,26,110.648109,2.798072
13,26,110.648109,2.798072
13,27,107.944494,2.338225
13,28,108.332037,1.719072
14,28,111.071589,3.487862
14,29,108.637775,2.838078
14,30,108.994747,2.147980
15,30,108.994747,2.147980
15,31,109.350228,1.105490
15,32,109.766255,0.920360
16,32,109.832326,3.090765
16,33,110.311489,1.506554
16,34,110.884178,1.289849
17,35,112.419862,1.945505
17,36,114.085983,2.487240
17,37,115.892458,3.389227
18,37,113.148781,2.002168
18,38,114.727923,2.853782
18,39,116.724794,3.999474
19,39,116.724794,3.999474
19,40,117.477306,4.060227
19,41,118.712383,4.828090
20,42,117.854624,4.812099
20,43,119.109190,5.202771
20,44,121.522548,5.616390
21,44,121.522548,5.616390
21,45,121.639626,5.687471
21,46,123.971259,5.854455
22,46,122.626545,5.947845
22,47,122.621025,5.955496
22,48,125.050299,6.173210
23,48,125.050299,6.173210
23,49,125.275244,6.133984
23,50,126.394754,5.595372
24,51,125.612457,7.709814
24,52,126.803475,7.121701
24,53,127.915892,7.150168
25,53,127.915892,7.150168
25,54,128.935738,7.055275
25,55,129.979556,7.278470
26,56,129.391408,8.247574
26,57,130.775438,8.519715
26,58,132.152917,8.917868
27,58,132.152917,8.917868
27,59,133.367054,8.967780
27,60,134.620181,8.982698
28,60,135.314907,8.071367
28,61,137.337505,8.120020
28,62,137.278843,8.092283
29,63,138.896049,8.059500
29,64,139.691505,7.982845
29,65,139.691535,0.044950
30,65,140.157056,7.357258
30,66,140.863660,7.289701
30,67,140.863662,0.048510
31,68,140.863664,0.048002
31,69,140.863662,0.000004
31,70,140.863662,0.000003
32,70,146.645341,0.000003
32,71,146.645671,0.044895
32,72,146.645342,0.000003
33,73,146.645342,0.000003
33,74,146.645670,0.000003
33,75,146.645341,0.000005
34,75,142.715087,0.000017
34,76,142.715094,0.000005
34,77,142.715093,0.000008
35,78,142.715090,0.000004
35,79,142.715106,0.000005
35,80,142.715096,0.000011
36,80,146.965066,0.000005
36,81,146.965048,0.000004
36,82,146.965449,0.000017
37,83,146.965455,0.000019
37,84,146.965241,0.000004
37,85,146.965117,0.000003
38,85,148.183835,0.000033
38,86,148.184050,0.000007
38,87,148.183774,0.000008
39,88,148.183924,0.000005
39,89,148.184026,0.010627
39,90,148.183804,0.021536
40,91,187.120017,0.022828
40,92,187.120012,0.044316
40,93,187.120098,0.060906
41,93,187.120098,0.060906
41,94,187.120129,0.045644
41,95,187.120100,0.000006
42,96,145.288508,0.078259
42,97,145.288491,0.000008
42,98,145.288503,0.000022
43,98,145.288503,0.000022
43,99,145.288506,0.000016
43,100,145.288517,0.000033
44,101,242.525904,0.000022
44,102,242.525907,0.000034
44,103,242.525914,0.000033
45,104,242.525922,0.000008
45,105,242.525926,0.000010
45,106,242.525929,0.000006
46,106,160.490594,0.000005
46,107,160.490753,0.000005
46,108,160.490909,0.000025
47,109,160.490972,0.103764
47,110,160.491047,0.112477
47,111,160.491098,0.121013
48,112,228.372578,0.112344
48,113,228.372588,0.121985
48,114,228.372587,0.115695
49,115,228.372585,0.123095
49,116,228.372590,0.120815
49,117,228.372597,0.116470
50,117,156.121190,0.150038
50,118,156.121205,0.145113
50,119,156.121234,0.151352
51,120,156.121240,0.149537
51,121,156.121229,0.154444
51,122,156.121274,0.156404
52,123,158.054487,0.171734
52,124,158.054555,0.170393
52,125,158.054612,0.174476
53,126,158.054679,0.171352
53,127,158.054729,0.164758
53,128,158.054774,0.172438
54,128,192.470116,0.174266
54,129,192.470129,0.178367
54,130,192.470142,0.174424
55,131,192.470151,0.172701
55,132,192.470162,0.175924
55,133,192.470173,0.164111
56,134,209.155497,0.193718
56,135,209.155499,0.184583
56,136,209.155507,0.184410
57,137,209.155505,0.174922
57,138,209.155519,0.159890
57,139,209.155526,0.139029
58,140,159.962041,0.173101
58,141,159.962066,0.158342
58,142,159.962082,0.102549
59,143,159.962057,0.121315
59,144,159.962157,0.130489
59,145,159.962128,0.134976
60,146,217.502811,0.145358
60,147,217.502815,0.144547
60,148,217.502820,0.215323
61,148,217.502820,0.215323
61,149,217.502824,0.219448
61,150,217.502832,0.221245
62,151,243.974168,0.234593
62,152,243.974169,0.235129
62,153,243.974173,0.238137
63,154,243.974177,0.217735
63,155,243.974180,0.232905
63,156,243.974187,0.179539
64,157,246.834805,0.234007
64,158,246.834811,0.178423
64,159,246.834818,0.237360
65,160,246.834824,0.179136
65,161,246.834829,0.240610
65,162,246.834834,0.178962
66,163,221.166085,0.265476
66,164,221.166089,0.200538
66,165,221.166093,0.268876
67,166,221.166099,0.200639
67,167,221.166104,0.271883
67,168,221.166108,0.201022
68,169,429.170960,0.270425
68,170,429.170960,0.200156
68,171,429.170964,0.272196
69,172,429.170962,0.200684
69,173,429.170963,0.275008
69,174,429.170965,0.199451
70,175,783.370157,0.299670
70,176,783.370154,0.221084
70,177,783.370155,0.299181
71,178,783.370155,0.221734
71,179,783.370161,0.300615
71,180,783.370153,0.305269
72,181,839.527724,0.304432
72,182,839.527100,0.306300
72,183,839.531019,0.305888
73,184,839.529093,0.306342
73,185,839.534278,0.307235
73,186,839.531563,0.307156
74,188,294.707678,0.329937
74,189,294.707679,0.330788
74,190,294.707679,0.332074
75,191,294.707680,0.335513
75,192,294.707681,0.337939
75,193,294.707683,0.340401
76,194,320.128480,0.349777
76,195,320.130751,0.352035
76,196,320.133741,0.353833
77,197,320.134589,0.355788
77,198,320.134581,0.356957
77,199,320.138225,0.358587
78,200,293.821206,0.368674
78,201,293.821216,0.371147
78,202,293.821212,0.372474
79,203,293.821214,0.373881
79,204,293.821219,0.375212
79,205,293.821220,0.376397
80,207,285.737560,0.395332
80,208,285.737560,0.396388
80,209,285.737564,0.396983
81,210,285.737564,0.312519
81,211,285.737566,0.308760
81,212,285.737568,0.271607
82,213,245.714356,0.318737
82,214,245.714366,0.278049
82,215,245.714379,0.323260
83,216,245.714389,0.327352
83,217,245.714402,0.277321
83,218,245.714409,0.333619
84,219,245.721462,0.000003
84,220,245.721472,0.000003
84,221,245.721484,0.000003
85,223,245.721507,0.000003
85,224,245.721519,0.000003
85,225,245.721532,0.000003
86,226,245.716233,0.000003
86,227,245.716245,0.000003
86,228,245.716255,0.000003
87,229,245.716266,0.000003
87,230,245.716277,0.000003
87,231,245.716290,0.000003
88,233,245.720917,0.000003
88,234,245.720928,0.000003
88,235,245.720937,0.000003
89,236,245.720952,0.000003
89,237,245.720960,0.000003
89,238,245.720974,0.000003
90,239,245.716393,0.000009
90,240,245.716406,0.000009
90,241,245.716416,0.000009
91,243,245.716439,0.000009
91,244,245.716450,0.000009
91,245,245.716462,0.000009
92,246,245.715626,0.000009
92,247,245.715638,0.000009
92,248,245.715650,0.000009
93,249,245.715660,0.000009
93,250,245.715672,0.000009
93,251,245.715683,0.000009
94,253,245.717349,0.000016
94,254,245.717358,0.000016
94,255,245.717371,0.000016
95,256,245.717382,0.000016
95,257,245.717392,0.000016
95,258,245.717406,0.000016
96,260,245.752054,0.000017
96,261,245.752063,0.000017
96,262,245.752072,0.000017
97,263,245.752085,0.000017
97,264,245.752095,0.000017
97,265,245.752105,0.000017
98,267,245.749002,0.000019
98,268,245.749014,0.000019
98,269,245.749026,0.000019
99,270,245.749035,0.000019
99,271,245.749049,0.000019
99,272,245.749058,0.000019
100,274,245.705174,0.000019
100,275,245.705186,0.000019
100,276,245.705198,0.000019
101,277,245.705208,0.000019
101,278,245.705219,0.000019
101,279,245.705231,0.000019
102,281,245.748233,0.000020
102,282,245.748245,0.000020
102,283,245.748256,0.000020
103,284,245.748266,0.000020
103,285,245.748276,0.000020
103,286,245.748290,0.000020
104,288,245.750180,0.000019
104,289,245.750191,0.000019
104,290,245.750199,0.000019
105,291,245.750211,0.000019
105,292,245.750224,0.000019
105,293,245.750237,0.000019
106,295,245.721209,0.000018
106,296,245.721218,0.000018
106,297,245.721231,0.000018
107,298,245.721242,0.000018
107,299,245.721252,0.000018
107,300,245.721263,0.000018
108,302,245.711550,0.000016
108,303,245.711568,0.000016
108,304,245.711577,0.000016
109,306,245.711600,0.000016
109,307,245.711609,0.000016
109,308,245.711620,0.000016
110,309,245.748874,0.000016
