Z,A,Graph_Radius,Fiedler_Stiffness
1,1,0.000000,0.000000
1,2,0.000000,0.000000
1,3,0.000000,0.000000
1,4,0.000074,0.000037
2,2,35.237715,35.237715
2,3,35.338909,0.252619
2,4,35.602155,0.235020
2,5,35.894403,0.229379
2,6,35.799100,0.201838
3,4,35.602155,0.235020
3,5,35.894403,0.229379
3,6,35.799100,0.201838
3,7,36.620072,0.209351
3,8,36.063281,0.665037
4,6,38.097457,0.434376
4,7,38.327171,0.475871
4,8,38.396827,0.212650
4,9,46.557796,0.233378
4,10,44.995402,0.663521
5,8,38.396827,0.212650
5,9,46.557796,0.233378
5,10,44.995402,0.663521
5,11,38.764448,0.737700
5,12,42.904888,0.121184
6,10,63.395525,0.209943
6,11,68.701543,0.232185
6,12,69.449364,0.656527
6,13,67.401874,0.973612
6,14,65.223548,0.120636
7,12,69.449364,0.656527
7,13,67.401874,0.973612
7,14,65.223548,0.120636
7,15,67.674704,0.494563
7,16,71.018574,0.284759
8,14,83.211996,0.820567
8,15,86.179347,1.241588
8,16,83.857021,0.120966
8,17,81.303395,0.515180
8,18,82.144118,0.287402
9,16,83.857021,0.120966
9,17,81.303395,0.515180
9,18,82.144118,0.287402
9,19,85.009985,1.882691
9,20,90.746152,2.067734
10,18,96.410869,0.120393
10,19,94.218857,0.512866
10,20,95.098624,0.286383
10,21,97.321664,2.060067
10,22,102.094317,2.372363
11,20,95.098624,0.286383
11,21,97.321664,2.060067
11,22,102.094317,2.372363
11,23,105.708998,3.141351
11,24,106.990945,2.574379
12,23,101.668333,2.383610
12,24,104.506669,2.562517
12,25,107.290212,3.797908
12,26,110.656218,2.799564
12,27,107.948531,2.339923
13,25,107.290212,3.797908
13,26,110.656218,2.799564
13,27,107.948531,2.339923
13,28,108.335882,1.720455
13,29,108.821188,0.858395
14,27,107.873965,4.438682
14,28,111.077780,3.490585
14,29,108.642726,2.838823
14,30,108.999856,2.149252
14,31,109.354599,1.106304
15,29,108.642726,2.838823
15,30,108.999856,2.149252
15,31,109.354599,1.106304
15,32,109.770053,0.921279
15,33,111.566144,1.666616
16,31,109.763676,3.832334
16,32,109.836430,3.093643
16,33,110.316215,1.507410
16,34,110.890414,1.290201
16,35,112.424105,1.946293
17,34,110.890414,1.290201
17,35,112.424105,1.946293
17,36,114.090609,2.490010
17,37,115.897834,3.392707
17,38,117.015205,3.517461
18,36,113.333894,1.320916
18,37,113.162261,2.006668
18,38,114.741782,2.855075
18,39,116.740641,4.001475
18,40,117.490387,4.066423
19,38,114.741782,2.855075
19,39,116.740641,4.001475
19,40,117.490387,4.066423
19,41,118.719032,4.831088
19,42,121.005641,4.970799
20,41,117.385095,4.516363
20,42,117.867898,4.814063
20,43,119.118517,5.204872
20,44,121.531163,5.618638
20,45,121.648104,5.689516
21,43,119.118517,5.204872
21,44,121.531163,5.618638
21,45,121.648104,5.689516
21,46,123.980927,5.857247
21,47,124.234524,5.839169
22,45,120.164780,5.570942
22,46,122.643165,5.951310
22,47,122.640242,5.957678
22,48,125.069953,6.176372
22,49,125.289930,6.136873
23,47,122.640242,5.957678
23,48,125.069953,6.176372
23,49,125.289930,6.136873
23,50,126.413182,5.597518
23,51,127.627166,5.534297
24,50,125.270717,7.765720
24,51,125.626216,7.713457
24,52,126.818922,7.125697
24,53,127.928101,7.153743
24,54,128.949000,7.059361
25,52,126.818922,7.125697
25,53,127.928101,7.153743
25,54,128.949000,7.059361
25,55,129.999626,7.283346
25,56,131.465057,7.625305
26,55,128.452766,8.317196
26,56,129.406757,8.249792
26,57,130.789772,8.521971
26,58,132.165840,8.919997
26,59,133.384887,8.970417
27,57,130.789772,8.521971
27,58,132.165840,8.919997
27,59,133.384887,8.970417
27,60,134.633425,8.984771
27,61,136.041889,8.907504
28,59,134.635645,7.642060
28,60,135.329205,8.075613
28,61,137.350326,8.124478
28,62,137.298653,8.097004
28,63,138.913774,8.063945
29,62,137.298653,8.097004
29,63,138.913774,8.063945
29,64,139.716584,7.987437
29,65,139.716613,0.044950
29,66,139.716613,0.000003
30,64,138.328281,7.374900
30,65,140.170976,7.361434
30,66,140.878515,7.293849
30,67,140.878515,0.048510
30,68,140.878515,0.048003
31,67,140.878515,0.048510
31,68,140.878515,0.048003
31,69,140.878515,0.000004
31,70,140.878515,0.000003
31,71,140.878516,0.000003
32,69,146.669137,0.044911
32,70,146.669137,0.000003
32,71,146.669465,0.044901
32,72,146.669137,0.000003
32,73,146.669137,0.000003
33,72,146.669137,0.000003
33,73,146.669137,0.000003
33,74,146.669465,0.000003
33,75,146.669137,0.000005
33,76,146.669155,0.000003
34,74,142.741380,0.048005
34,75,142.741378,0.000017
34,76,142.741378,0.000005
34,77,142.741380,0.000008
34,78,142.741380,0.000004
35,77,142.741380,0.000008
35,78,142.741380,0.000004
35,79,142.741380,0.000005
35,80,142.741378,0.000011
35,81,142.741380,0.000023
36,79,146.974342,0.000004
36,80,146.974373,0.000005
36,81,146.974354,0.000004
36,82,146.974755,0.000017
36,83,146.974759,0.000019
37,82,146.974755,0.000017
37,83,146.974759,0.000019
37,84,146.974547,0.000004
37,85,146.974424,0.000003
37,86,146.974437,0.000004
38,84,148.202318,0.000013
38,85,148.202442,0.000033
38,86,148.202658,0.000007
38,87,148.202382,0.000008
38,88,148.202532,0.000005
39,87,148.202382,0.000008
39,88,148.202532,0.000005
39,89,148.202634,0.010637
39,90,148.202411,0.021550
39,91,148.202585,0.065178
40,90,182.012754,0.000006
40,91,182.012621,0.022864
40,92,182.012655,0.044374
40,93,182.012764,0.060983
40,94,182.012604,0.045712
41,92,182.012655,0.044374
41,93,182.012764,0.060983
41,94,182.012604,0.045712
41,95,182.012794,0.000006
41,96,182.012667,0.000004
42,95,145.314706,0.074894
42,96,145.314708,0.078326
42,97,145.314709,0.000008
42,98,145.314700,0.000022
42,99,145.314714,0.000016
43,97,145.314709,0.000008
43,98,145.314700,0.000022
43,99,145.314714,0.000016
43,100,145.314716,0.000034
43,101,145.314717,0.000028
44,100,242.542803,0.000009
44,101,242.542801,0.000022
44,102,242.542804,0.000034
44,103,242.542811,0.000033
44,104,242.542819,0.000008
45,103,242.542811,0.000033
45,104,242.542819,0.000008
45,105,242.542822,0.000011
45,106,242.542825,0.000006
45,107,242.542827,0.080180
46,105,160.521955,0.000042
46,106,160.522071,0.000005
46,107,160.522231,0.000005
46,108,160.522388,0.000025
46,109,160.522450,0.103817
47,108,160.522388,0.000025
47,109,160.522450,0.103817
47,110,160.522524,0.112519
47,111,160.522576,0.121067
47,112,160.522702,0.128981
48,111,228.398763,0.094904
48,112,228.398767,0.112400
48,113,228.398772,0.122048
48,114,228.398771,0.115746
48,115,228.398777,0.123128
49,114,228.398771,0.115746
49,115,228.398777,0.123128
49,116,228.398779,0.120847
49,117,228.398779,0.116505
49,118,228.398786,0.121541
50,116,156.153925,0.144267
50,117,156.153942,0.150115
50,118,156.153947,0.145182
50,119,156.153966,0.151451
50,120,156.153984,0.149664
51,119,156.153966,0.151451
51,120,156.153984,0.149664
51,121,156.153991,0.154611
51,122,156.154005,0.156535
51,123,156.154016,0.148552
52,122,158.079016,0.167532
52,123,158.079058,0.171882
52,124,158.079126,0.170558
52,125,158.079182,0.174633
52,126,158.079250,0.171517
53,125,158.079182,0.174633
53,126,158.079250,0.171517
53,127,158.079300,0.164923
53,128,158.079345,0.172586
53,129,158.079399,0.172470
54,127,192.499453,0.176396
54,128,192.499467,0.174452
54,129,192.499479,0.178550
54,130,192.499492,0.174581
54,131,192.499501,0.172846
55,130,192.499492,0.174581
55,131,192.499501,0.172846
55,132,192.499512,0.176073
55,133,192.499523,0.164257
55,134,192.499535,0.168631
56,133,209.163699,0.199577
56,134,209.163704,0.193848
56,135,209.163709,0.184712
56,136,209.163714,0.184511
56,137,209.163719,0.175016
57,136,209.163714,0.184511
57,137,209.163719,0.175016
57,138,209.163723,0.159997
57,139,209.163729,0.139118
57,140,209.163734,0.107753
58,139,160.007868,0.178799
58,140,160.007893,0.173206
58,141,160.007923,0.158447
58,142,160.007932,0.102615
58,143,160.007948,0.121374
59,142,160.007932,0.102615
59,143,160.007948,0.121374
59,144,160.007988,0.130559
59,145,160.008003,0.135054
59,146,160.008023,0.206164
60,145,217.522819,0.132370
60,146,217.522823,0.145485
60,147,217.522827,0.144637
60,148,217.522832,0.215438
60,149,217.522837,0.219580
61,147,217.522827,0.144637
61,148,217.522832,0.215438
61,149,217.522837,0.219580
61,150,217.522842,0.221367
61,151,217.522846,0.222301
62,150,243.993762,0.229511
62,151,243.993767,0.234732
62,152,243.993770,0.235280
62,153,243.993774,0.238286
62,154,243.993778,0.217866
63,153,243.993774,0.238286
63,154,243.993778,0.217866
63,155,243.993782,0.233036
63,156,243.993785,0.179648
63,157,243.993789,0.238926
64,156,246.846541,0.216325
64,157,246.846546,0.234157
64,158,246.846552,0.178534
64,159,246.846558,0.237525
64,160,246.846563,0.179265
65,159,246.846558,0.237525
65,160,246.846563,0.179265
65,161,246.846568,0.240792
65,162,246.846573,0.179089
65,163,246.846579,0.244137
66,162,221.198917,0.199454
66,163,221.198922,0.265638
66,164,221.198928,0.200650
66,165,221.198932,0.269030
66,166,221.198938,0.200745
