Z,A,Graph_Radius,Relaxed_Fiedler_Stiffness
30,65,140.170943,7.360595
30,66,140.878474,7.293103
32,71,146.669405,0.044898
30,67,140.878478,0.048473
31,68,140.878479,0.047983
31,69,140.878476,0.000004
31,70,140.878476,0.000003
32,70,146.669093,0.000003
32,72,146.669085,0.000003
33,74,146.669415,0.000003
33,73,146.669087,0.000003
33,75,146.669087,0.000005
34,75,142.741308,0.000017
34,76,142.741304,0.000005
35,78,142.741310,0.000004
34,77,142.741314,0.000008
35,79,142.741319,0.000005
35,80,142.741308,0.000011
36,80,146.974302,0.000005
36,81,146.974275,0.000004
37,83,146.974676,0.000019
36,82,146.974671,0.000017
37,84,146.974469,0.000004
37,85,146.974347,0.000003
38,85,148.202376,0.000033
38,86,148.202580,0.000007
38,87,148.202297,0.000008
39,88,148.202455,0.000005
39,89,148.202556,0.010627
39,90,148.202319,0.021537
40,92,187.171327,0.044317
40,91,187.171284,0.022828
40,93,187.171392,0.060878
41,95,187.171468,0.000006
45,104,242.542722,0.000008
41,93,187.171392,0.060878
41,94,187.171281,0.045628
42,96,145.314532,0.078274
44,102,242.542726,0.000034
43,98,145.314496,0.000022
43,99,145.314516,0.000016
43,100,145.314517,0.000033
45,106,242.542744,0.000006
44,101,242.542735,0.000022
42,97,145.314548,0.000008
42,98,145.314496,0.000022
45,105,242.542763,0.000010
44,103,242.542741,0.000033
46,106,160.521932,0.000005
46,107,160.522085,0.000005
49,115,228.398678,0.123099
47,111,160.522421,0.121020
46,108,160.522241,0.000025
48,112,228.398673,0.112348
47,109,160.522302,0.103776
48,114,228.398669,0.115698
47,110,160.522377,0.112481
48,113,228.398694,0.121990
49,117,228.398703,0.116466
49,116,228.398698,0.120818
50,117,156.153764,0.150070
50,118,156.153783,0.145145
51,120,156.153811,0.149576
50,119,156.153796,0.151386
51,122,156.153825,0.156449
52,123,158.078870,0.171756
52,124,158.078925,0.170422
52,125,158.079000,0.174504
51,121,156.153818,0.154495
53,127,158.079118,0.164784
53,128,158.079134,0.172458
53,126,158.079031,0.171376
54,129,192.499327,0.178385
54,130,192.499333,0.174440
54,128,192.499323,0.174281
56,134,209.163557,0.193715
55,132,192.499358,0.175944
55,131,192.499361,0.172718
55,133,192.499365,0.164128
56,135,209.163569,0.184582
58,141,160.007602,0.158361
58,142,160.007613,0.102562
56,136,209.163538,0.184409
57,139,209.163589,0.139029
58,140,160.007572,0.173119
57,137,209.163592,0.174922
57,138,209.163584,0.159892
59,143,160.007638,0.121333
59,144,160.007720,0.130502
60,146,217.522650,0.145356
59,145,160.007681,0.134975
60,148,217.522657,0.215340
60,147,217.522667,0.144571
61,148,217.522657,0.215340
61,149,217.522670,0.219463
61,150,217.522665,0.221254
63,155,243.993599,0.232899
62,153,243.993613,0.238135
62,152,243.993614,0.235129
62,151,243.993617,0.234594
63,154,243.993631,0.217733
63,156,243.993637,0.179534
64,158,246.846427,0.178428
64,157,246.846428,0.234012
64,159,246.846437,0.237371
65,160,246.846450,0.179140
65,162,246.846446,0.178967
65,161,246.846452,0.240620
66,163,221.198363,0.265501
66,164,221.198382,0.200547
70,175,783.427476,0.299671
66,165,221.198388,0.268896
67,166,221.198410,0.200648
67,168,221.198390,0.201031
68,169,429.199230,0.270441
67,167,221.198407,0.271898
68,171,429.199233,0.272206
68,170,429.199213,0.200165
69,173,429.199223,0.275016
69,172,429.199248,0.200693
69,174,429.199242,0.199457
70,176,783.427657,0.221085
71,178,783.427687,0.221740
70,177,783.427637,0.299195
71,180,783.427636,0.305279
71,179,783.427639,0.300631
72,181,839.544642,0.304434
72,182,839.543995,0.306306
73,184,839.546004,0.306349
72,183,839.547937,0.305895
73,185,839.551220,0.307242
73,186,839.548487,0.307163
74,189,294.750529,0.330784
74,188,294.750518,0.329932
74,190,294.750557,0.332073
76,194,320.136904,0.349784
75,191,294.750524,0.335516
75,192,294.750531,0.337946
75,193,294.750569,0.340410
76,196,320.142187,0.353842
77,197,320.143055,0.355798
76,195,320.139179,0.352043
77,198,320.143062,0.356966
77,199,320.146732,0.358598
78,201,293.856092,0.371179
78,200,293.856082,0.368711
78,202,293.856086,0.372501
79,203,293.856089,0.373903
79,204,293.856095,0.375227
79,205,293.856090,0.376408
80,207,285.775261,0.395349
80,208,285.775261,0.396407
81,210,285.775273,0.312518
80,209,285.775268,0.397000
81,211,285.775265,0.308775
81,212,285.775261,0.271632
82,214,245.761936,0.278057
82,213,245.761886,0.318744
82,215,245.761909,0.323268
83,216,245.761897,0.327362
83,218,245.761947,0.333628
83,217,245.761937,0.277320
84,221,245.762130,0.000003
84,220,245.762129,0.000003
84,219,245.762124,0.000003
86,226,245.762142,0.000003
85,223,245.762167,0.000003
86,227,245.762153,0.000003
85,225,245.762194,0.000003
85,224,245.762180,0.000003
86,228,245.762165,0.000003
87,229,245.762180,0.000003
87,230,245.762188,0.000003
87,231,245.762201,0.000003
89,238,245.762213,0.000003
88,234,245.762209,0.000003
88,233,245.762193,0.000003
88,235,245.762220,0.000003
89,237,245.762245,0.000003
89,236,245.762233,0.000003
90,239,245.761689,0.000009
90,240,245.761674,0.000009
90,241,245.761729,0.000009
91,245,245.761731,0.000009
91,243,245.761891,0.000009
91,244,245.761923,0.000009
92,247,245.762300,0.000009
92,246,245.762282,0.000009
92,248,245.762311,0.000009
93,249,245.762242,0.000009
93,250,245.762249,0.000009
93,251,245.762265,0.000009
94,253,245.762150,0.000016
94,254,245.762162,0.000016
94,255,245.762168,0.000016
